13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
22.00,51.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
4.00,23.00,3.333
4.00,37.00,3.333
13.00,37.00,10.00
13.00,23.00,3.333
22.00,23.00,3.333
22.00,37.00,3.333
13.00,37.00,10.00
13.00,51.00,3.333
4.00,51.00,3.333
4.00,37.00,3.333
