17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
17.00,41.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
9.00,33.00,1.00
9.00,37.00,1.00
13.00,37.00,3.00
13.00,33.00,1.00
17.00,33.00,1.00
17.00,37.00,1.00
13.00,37.00,3.00
13.00,41.00,1.00
9.00,41.00,1.00
9.00,37.00,1.00
